feature,importance
Price_Change_Lag_6,0.044170924
Data_MA_2,0.036270946
Data_MA_40,0.034263983
Data_Lag_3,0.032537136
Price_Change_Lag_7,0.03222265
Price_Change_Lag_2,0.031889085
Data_Lag_4,0.03090368
Data_Lag_7,0.030109761
Data_Lag_2,0.028582416
Price_Pct_Change,0.028408263
Price_Change_Lag_1,0.028135603
Price_Change_Lag_4,0.027714673
Data_Change_Lag_3,0.027710432
Price_Lag_7,0.027315963
Price_Change_Lag_5,0.026733749
Data_Lag_5,0.026514735
Price_Change_Lag_3,0.026293712
Data_Change_Lag_1,0.026271865
Data_Pct_Change,0.02561413
Data_Change,0.025260137
Data_Change_Lag_5,0.024942145
Data_MA_10,0.024799649
Data_MA_5,0.02425564
Data_MA_7,0.023851953
Data_Change_Lag_6,0.023275312
Data_Change_Lag_4,0.023249868
Data_Lag_1,0.023132656
Price_Lag_4,0.022603452
Data_Change_Lag_2,0.02151115
Data_Lag_6,0.021447161
Data_Change_Lag_7,0.020327115
Price_Lag_5,0.020151718
Price_Lag_3,0.019048313
Price_Lag_6,0.018894218
Price_Lag_1,0.01883218
Price_Lag_2,0.018807037
Data,0.018009776
Price_Change,0.017091062
days_gap,0.011617546
Price,0.0072281244
